start,end,iso3,FiveYrSD,FiveYrAverageGDPgrowth
2001,2005,CPV,3.0096605,5.7536674
2002,2006,CPV,2.3549733,6.9040866
2003,2007,CPV,4.1263413,8.8880453
2004,2008,CPV,3.5244846,9.3828983
2005,2009,CPV,5.8356085,7.0894027
2006,2010,CPV,6.3613601,6.0002937
2007,2011,CPV,6.3015184,5.1973
2008,2012,CPV,3.025135,2.3795464
2009,2013,CPV,1.8615241,1.258491
2010,2014,CPV,1.2775141,2.0725412
2011,2015,CPV,1.4224025,2.2239482
1997,2001,CRI,3.4601481,5.0150914
1998,2002,CRI,3.5568805,4.4798908
1999,2003,CRI,3.0888789,4.0812235
2000,2004,CRI,2.1158977,3.2886739
2001,2005,CRI,2.1854126,4.1057844
2002,2006,CRI,2.2306871,5.6464334
2003,2007,CRI,1.7709831,6.6530647
2004,2008,CRI,2.5081589,5.9184866
2005,2009,CRI,4.0289192,4.863452
2006,2010,CRI,3.9911435,4.6770406
2007,2011,CRI,3.2893083,3.8246617
2008,2012,CRI,2.5812719,3.2711103
2009,2013,CRI,2.5636318,3.412241
2010,2014,CRI,.80739242,4.315855
2011,2015,CRI,.83625811,4.156239
1997,2001,CSS,.91384751,3.2988803
1998,2002,CSS,.93380821,3.4636071
1999,2003,CSS,1.460416,4.0796165
2000,2004,CSS,1.4553,4.0353746
2001,2005,CSS,1.4580652,3.9883528
2002,2006,CSS,1.4915994,4.9916101
2003,2007,CSS,1.6588044,4.8419871
2004,2008,CSS,2.0828683,3.8709919
2005,2009,CSS,4.0221972,2.2785857
2006,2010,CSS,4.0182195,1.5133473
2007,2011,CSS,2.5954783,.2916469
2008,2012,CSS,2.1623938,-.11410526
2009,2013,CSS,2.1459885,-.13508657
2010,2014,CSS,.49336639,.86663997
2011,2015,CSS,.10633165,1.0834028
1997,2001,CUB,2.4884131,3.6460049
1998,2002,CUB,2.6728463,3.3747222
1999,2003,CUB,1.983965,4.101851
2000,2004,CUB,1.8794543,4.017786
2001,2005,CUB,3.759902,5.0749555
2002,2006,CUB,4.6382499,6.8516703
2003,2007,CUB,3.535749,8.0183792
2004,2008,CUB,3.4401798,8.0834723
2005,2009,CUB,4.535152,7.21912
2006,2010,CUB,4.3072824,5.4564438
2007,2011,CUB,2.25876,3.6038759
2008,2012,CUB,.97004294,2.7543266
2009,2013,CUB,.61293387,2.4681673
2010,2014,CUB,.26119685,2.72293
2011,2015,CUB,.16642965,2.8344624
1997,2001,CYP,1.3024685,4.2859254
1998,2002,CYP,1.0294766,4.4495544
1999,2003,CYP,1.1753663,3.9888649
2000,2004,CYP,1.1372702,3.9275279
2001,2005,CYP,.60709679,3.5654736
2002,2006,CYP,.74199402,3.753628
2003,2007,CYP,.81505853,4.0881548
2004,2008,CYP,.51168191,4.2546582
2005,2009,CYP,2.8475749,2.9703388
2006,2010,CYP,2.8683841,2.4758458
2007,2011,CYP,2.7398565,1.6247367
2008,2012,CYP,2.4912441,.16918257
2009,2013,CYP,2.6138589,-1.6263096
2010,2014,CYP,2.6240506,-1.6689217
2011,2015,CYP,2.2979257,-2.4338133
1997,2001,CZE,2.1346233,1.5586808
1998,2002,CZE,1.7443172,2.0229249
1999,2003,CZE,1.2372226,2.8065
2000,2004,CZE,1.2620153,3.5083811
2001,2005,CZE,1.8328999,3.9380064
2002,2006,CZE,2.1424916,4.703011
2003,2007,CZE,1.2932312,5.4794745
2004,2008,CZE,1.6332673,5.3012972
2005,2009,CZE,4.8544135,3.3434486
2006,2010,CZE,4.5364614,2.5140142
2007,2011,CZE,3.8328974,1.5320277
2008,2012,CZE,3.1794207,.24611315
2009,2013,CZE,2.8662057,-.40171212
2010,2014,CZE,1.5417311,.96227574
2011,2015,CZE,1.5585514,.62907231
1997,2001,DEU,.49918821,2.0946941
1998,2002,DEU,1.0770705,1.724854
1999,2003,DEU,1.5047232,1.1869491
2000,2004,DEU,1.439028,1.0235162
2001,2005,DEU,.94978559,.57244992
2002,2006,DEU,1.6827066,.97338754
2003,2007,DEU,1.835984,1.6254946
2004,2008,DEU,1.3858106,1.9839389
2005,2009,DEU,3.7284129,.62617278
2006,2010,DEU,4.0388894,1.3008167
2007,2011,DEU,4.0329604,1.2927847
2008,2012,DEU,3.884079,.72171181
2009,2013,DEU,3.8817143,.56481826
2010,2014,DEU,1.780614,2.0085444
2011,2015,DEU,1.5619464,1.4906971
1997,2001,DJI,1.2734259,.79929817
1998,2002,DJI,1.134101,1.472185
1999,2003,DJI,1.0395464,2.0923011
2000,2004,DJI,1.3018872,2.4217951
2001,2005,DJI,.67087066,2.9724727
2002,2006,DJI,.83212602,3.5228927
2003,2007,DJI,.89551866,4.0191927
2004,2008,DJI,1.0435289,4.5391932
2005,2009,DJI,.97472578,4.7804232
2006,2010,DJI,.84537458,4.8438869
2007,2011,DJI,.86259192,4.7774167
2008,2012,DJI,.84603488,4.7258801
2009,2013,DJI,.64352936,4.5658693
2010,2014,DJI,.90949291,4.7593827
2011,2015,DJI,.6544081,5.0774989
1997,2001,DMA,1.9386529,1.6001227
1998,2002,DMA,2.4577115,.95132709
1999,2003,DMA,3.6003776,1.4931523
2000,2004,DMA,3.638828,2.0065222
2001,2005,DMA,3.6962309,1.9138116
2002,2006,DMA,3.6193194,2.4051285
2003,2007,DMA,3.0646226,4.0271077
2004,2008,DMA,2.8814411,3.899121
2005,2009,DMA,3.6929054,3.0157588
2006,2010,DMA,3.5454314,3.1683145
2007,2011,DMA,3.8257351,2.582377
2008,2012,DMA,3.4439404,1.0597736
2009,2013,DMA,.93276465,-.23093766
2010,2014,DMA,1.8974894,.77811235
2011,2015,DMA,2.1900117,.8040064
1997,2001,DNK,1.1375682,2.5994194
1998,2002,DNK,1.3898693,2.0405002
1999,2003,DNK,1.5613207,1.6748905
2000,2004,DNK,1.5033586,1.6130774
2001,2005,DNK,1.0980597,1.3511052
2002,2006,DNK,1.4796038,1.9458226
2003,2007,DNK,1.3964075,2.0174465
2004,2008,DNK,1.7598583,1.7958369
2005,2009,DNK,3.4323072,.25045958
2006,2010,DNK,3.3203816,.08808025
2007,2011,DNK,2.7422166,-.44083977
2008,2012,DNK,2.649822,-.73676848
2009,2013,DNK,2.6522589,-.69041926
2010,2014,DNK,1.040979,.54485184
2011,2015,DNK,.97907966,.27478158
1997,2001,DOM,2.4031942,5.8392119
1998,2002,DOM,2.0877192,5.3959985
1999,2003,DOM,3.0078888,3.9432075
2000,2004,DOM,2.719785,2.8625283
2001,2005,DOM,3.8776293,3.5837572
2002,2006,DOM,4.7832923,5.3561425
2003,2007,DOM,4.9903517,5.8934259
2004,2008,DOM,4.095253,6.5728397
2005,2009,DOM,4.21769,6.4976044
2006,2010,DOM,4.0798731,6.3054852
2007,2011,DOM,3.4401841,4.7354307
2008,2012,DOM,2.7820737,3.5664072
2009,2013,DOM,2.8157763,3.8932133
2010,2014,DOM,2.5811491,5.1742325
2011,2015,DOM,2.1923709,4.3922529
1997,2001,DZA,1.6587799,3.2425058
1998,2002,DZA,1.4074488,4.1425056
1999,2003,DZA,1.9667943,4.5625052
2000,2004,DZA,1.8332765,4.782505
2001,2005,DZA,1.1494652,5.5225048
2002,2006,DZA,2.0839865,4.9400001
2003,2007,DZA,2.1412613,4.5
2004,2008,DZA,1.724239,3.46
2005,2009,DZA,1.815768,2.919996
2006,2010,DZA,.96338218,2.4600298
2007,2011,DZA,.86723119,2.6800334
2008,2012,DZA,.8474012,2.6600318
2009,2013,DZA,.76293916,2.8200316
2010,2014,DZA,.45609689,3.2600358
2011,2015,DZA,.478708,3.1750023
1997,2001,ECU,3.7583117,1.5924879
1998,2002,ECU,3.7174628,1.5462703
1999,2003,ECU,3.6621075,1.4375399
2000,2004,ECU,2.6375723,4.0276213
2001,2005,ECU,2.0783315,4.8675222
2002,2006,ECU,2.0455639,4.9451017
2003,2007,ECU,2.3916936,4.5637593
2004,2008,ECU,2.2397861,5.2906098
2005,2009,ECU,2.3541081,3.7617042
2006,2010,ECU,2.1942959,3.4085021
2007,2011,ECU,2.9898717,4.1014252
2008,2012,ECU,2.8325856,4.7918048
2009,2013,ECU,2.6949077,4.4310937
2010,2014,ECU,1.7856457,5.0527916
2011,2015,ECU,1.8108542,5.4346652
1997,2001,EGY,1.0758497,4.907238
1998,2002,EGY,1.4812404,4.2831097
1999,2003,EGY,1.5621026,4.1145272
2000,2004,EGY,1.1165217,3.7118189
2001,2005,EGY,.81541741,3.5324881
2002,2006,EGY,1.6904598,4.1940351
2003,2007,EGY,1.7341721,5.1375403
2004,2008,EGY,1.5144386,5.9292598
2005,2009,EGY,1.3486007,6.047965
2006,2010,EGY,1.1753715,6.18152
2007,2011,EGY,2.1844816,5.1762571
2008,2012,EGY,2.2100387,4.1974297
2009,2013,EGY,1.5880239,3.1883643
2010,2014,EGY,1.3747526,2.6970334
2011,2015,EGY,.18708883,2.0865102
1997,2001,ERI,5.1320333,3.0616393
1998,2002,ERI,4.3889632,2.0809882
1999,2003,ERI,4.8854308,1.1953685
2000,2004,ERI,4.8405809,1.4830196
2001,2005,ERI,4.0923681,2.6263068
2002,2006,ERI,2.4206254,.68137628
2003,2007,ERI,2.1268389,.36565486
2004,2008,ERI,5.0448446,-1.0598481
2005,2009,ERI,5.4471421,-.57489485
2006,2010,ERI,5.3945799,-.65094668
2007,2011,ERI,6.7960796,1.2788568
2008,2012,ERI,7.8468556,1.2418654
2009,2013,ERI,3.3656347,4.9168305
2010,2014,ERI,4.5860186,5.4369955
1997,2001,ESP,.60411274,4.3541312
1998,2002,ESP,.87475961,4.1921606
1999,2003,ESP,.97556341,3.9684794
2000,2004,ESP,.9792183,3.7048485
2001,2005,ESP,.45703158,3.3916504
2002,2006,ESP,.5172978,3.4262605
2003,2007,ESP,.427497,3.6040871
2004,2008,ESP,1.2134597,3.1897674
2005,2009,ESP,3.2614563,1.8416556
2006,2010,ESP,3.1463408,1.0997922
2007,2011,ESP,2.7019138,.064952396
2008,2012,ESP,1.9058071,-1.2128884
2009,2013,ESP,1.3929323,-1.7704772
2010,2014,ESP,1.5365316,-.78356069
2011,2015,ESP,1.6979412,-.98289752
1997,2001,EST,5.1085658,6.3912358
1998,2002,EST,4.1442938,5.2468004
1999,2003,EST,4.1819487,5.9065781
2000,2004,EST,1.8800455,7.336822
2001,2005,EST,1.3748612,7.0979533
2002,2006,EST,1.8663563,7.8865914
2003,2007,EST,1.59033,8.2209482
2004,2008,EST,6.3753223,5.6538134
2005,2009,EST,11.057567,1.4499876
2006,2010,EST,10.219671,.067795083
2007,2011,EST,9.6004953,-.46995288
2008,2012,EST,9.1073399,-.98307788
2009,2013,EST,8.7868605,.41437399
2010,2014,EST,2.4338219,3.9405618
2011,2015,EST,2.6434908,4.310009
1997,2001,ETH,4.4833012,3.8424876
1998,2002,ETH,4.6041284,3.5186512
1999,2003,ETH,4.1243968,3.778007
2000,2004,ETH,6.0809889,5.4600987
2001,2005,ETH,6.7336502,6.6092081
2002,2006,ETH,6.9834867,7.1158924
2003,2007,ETH,6.3791614,9.1041803
2004,2008,ETH,1.135729,11.694157
2005,2009,ETH,1.1663681,10.740147
2006,2010,ETH,1.3646115,10.886501
2007,2011,ETH,1.3699921,10.955215
2008,2012,ETH,1.6585611,10.393544
2009,2013,ETH,1.6488179,10.352294
2010,2014,ETH,1.4179175,10.64762
2011,2015,ETH,1.0825266,10.171891
1997,2001,EUU,.59453064,2.9970899
1998,2002,EUU,.95726877,2.7064219
1999,2003,EUU,1.1030676,2.3656733
2000,2004,EUU,1.0503391,2.2666016
2001,2005,EUU,.54059166,1.9081553
2002,2006,EUU,.84847808,2.1299949
2003,2007,EUU,.80312109,2.4765267
2004,2008,EUU,1.1423889,2.3002288
2005,2009,EUU,3.1769996,.91658485
2006,2010,EUU,3.176796,.91614568
2007,2011,EUU,2.9472692,.60482532
2008,2012,EUU,2.6081595,-.098960266
2009,2013,EUU,2.5988815,-.14042063
2010,2014,EUU,1.0732958,1.0168567
2011,2015,EUU,1.0259005,.74755752
1997,2001,FCS,3.6347959,5.4022989
1998,2002,FCS,4.145319,3.9676418
1999,2003,FCS,2.787349,1.3464342
2000,2004,FCS,5.1929913,2.5996394
2001,2005,FCS,5.3915944,3.5314147
2002,2006,FCS,5.4251957,4.1228032
2003,2007,FCS,4.9092193,5.1797166
2004,2008,FCS,2.6213138,6.6407413
2005,2009,FCS,1.0109938,5.1070418
2006,2010,FCS,.77271372,4.8690629
2007,2011,FCS,6.3266053,1.8851376
2008,2012,FCS,8.379487,3.6368563
2009,2013,FCS,8.3707619,3.0853999
2010,2014,FCS,8.5461531,2.1858461
2011,2015,FCS,9.6863632,1.455435
1997,2001,FIN,1.4342363,4.8680191
1998,2002,FIN,1.7532089,3.9537222
1999,2003,FIN,1.7030367,3.2668166
2000,2004,FIN,1.6275884,3.1632013
2001,2005,FIN,.86659318,2.5922227
2002,2006,FIN,1.0850489,2.8871038
2003,2007,FIN,1.2324926,3.5879989
2004,2008,FIN,1.6906053,3.3333356
2005,2009,FIN,5.3840561,.89431703
2006,2010,FIN,5.4034543,.93679351
2007,2011,FIN,5.2271934,.63991761
2008,2012,FIN,4.5871015,-.68228036
2009,2013,FIN,4.519731,-1.0506532
2010,2014,FIN,2.1008646,.52221394
2011,2015,FIN,1.8282634,-.095316954
1997,2001,FJI,4.3992038,1.64
1998,2002,FJI,3.8492846,2.7200003
1999,2003,FJI,3.8791745,2.6599994
2000,2004,FJI,2.5986538,1.96
2001,2005,FJI,1.8743006,2.4399998
2002,2006,FJI,1.8840936,2.4104967
2003,2007,FJI,2.2874362,1.6003658
2004,2008,FJI,2.2853305,1.6069249
2005,2009,FJI,1.3480847,.26971713
2006,2010,FJI,1.8218442,.72065175
2007,2011,FJI,2.3134344,-.25989997
2008,2012,FJI,2.4193928,.23722883
2009,2013,FJI,3.3617532,1.1009486
2010,2014,FJI,3.8499546,2.7670712
2011,2015,FJI,4.4438949,2.720171
1997,2001,FRA,.83212852,3.0260489
1998,2002,FRA,1.1871452,2.7822609
1999,2003,FRA,1.3594923,2.2349398
2000,2004,FRA,1.2496006,2.1108048
2001,2005,FRA,.76777041,1.6573151
2002,2006,FRA,.82903987,1.7414147
2003,2007,FRA,.78048474,1.990023
2004,2008,FRA,1.0258765,1.8651757
2005,2009,FRA,2.2305906,.71962261
2006,2010,FRA,2.2715859,.79121131
2007,2011,FRA,2.223381,.73206776
2008,2012,FRA,2.0292251,.29630661
2009,2013,FRA,2.033962,.38854483
2010,2014,FRA,.94280481,1.0127263
2011,2015,FRA,.89822549,.77449358
1997,2001,FSM,4.0962467,.9168275
1998,2002,FSM,1.5471762,2.2499552
1999,2003,FSM,1.5001206,2.023983
2000,2004,FSM,2.8261936,1.1009803
2001,2005,FSM,2.2321854,.62044966
2002,2006,FSM,2.1532185,.23833133
2003,2007,FSM,2.3601291,-.29358396
2004,2008,FSM,2.1838777,-1.1706851
2005,2009,FSM,1.9914097,-.33204156
2006,2010,FSM,2.1105106,-.25803706
2007,2011,FSM,2.3535817,.18475606
2008,2012,FSM,1.9929217,.70952517
2009,2013,FSM,2.4104226,.50915021
2010,2014,FSM,2.9380796,-.36382046
2011,2015,FSM,2.8318024,-1.0874202
1997,2001,GAB,5.7633171,.10716903
1998,2002,GAB,4.8505154,-1.0903112
1999,2003,GAB,4.5847316,-1.3364118
2000,2004,GAB,1.7294449,.5880214
2001,2005,GAB,1.5923129,1.7447557
2002,2006,GAB,2.8402886,.59078163
2003,2007,GAB,3.7832119,1.9379122
2004,2008,GAB,4.366539,.8824079
2005,2009,GAB,4.467597,.5053274
2006,2010,GAB,5.8589621,1.5523046
2007,2011,GAB,5.4332261,3.6975827
2008,2012,GAB,5.3011575,3.450474
2009,2013,GAB,3.8784082,5.184195
2010,2014,GAB,1.8805032,6.2863426
2011,2015,GAB,1.1543244,5.5740304
1997,2001,GBR,.3868795,3.2290106
1998,2002,GBR,.51208895,3.1080012
1999,2003,GBR,.50715774,3.1000407
2000,2004,GBR,.57549131,2.9751835
2001,2005,GBR,.35985929,2.8146861
2002,2006,GBR,.36616302,2.7954435
2003,2007,GBR,.34911871,2.813868
2004,2008,GBR,1.4216294,2.0531597
2005,2009,GBR,3.0810068,.7170791
2006,2010,GBR,2.8735299,.42584279
2007,2011,GBR,2.7534461,.287958
2008,2012,GBR,2.5220447,.006561893
2009,2013,GBR,2.6681256,.53191799
2010,2014,GBR,.66841662,1.9583577
2011,2015,GBR,.72307879,2.0629029
1997,2001,GEO,3.4616127,4.627399
1998,2002,GEO,1.4870478,3.6183584
1999,2003,GEO,3.5805278,5.2089982
2000,2004,GEO,3.3332021,5.8066125
2001,2005,GEO,2.7853761,7.3588724
2002,2006,GEO,2.4708419,8.274437
2003,2007,GEO,2.4340501,9.6484699
2004,2008,GEO,3.8798645,7.8996587
2005,2009,GEO,6.5916367,5.9730377
2006,2010,GEO,6.2945385,5.3037152
2007,2011,GEO,6.0100875,4.8670602
2008,2012,GEO,4.5474057,3.6346836
2009,2013,GEO,4.4963379,3.8358603
2010,2014,GEO,1.5168493,5.5443034
2011,2015,GEO,1.6907063,5.3671222
1997,2001,GHA,.3809202,4.1993489
1998,2002,GHA,.40383872,4.2600775
1999,2003,GHA,.56833071,4.3599992
2000,2004,GHA,.7968688,4.5999999
2001,2005,GHA,.78294432,5.0400004
2002,2006,GHA,.719001,5.5199833
2003,2007,GHA,.77445215,5.489347
2004,2008,GHA,1.7744092,6.2793069
2005,2009,GHA,1.8757628,6.128458
2006,2010,GHA,2.0223379,6.5284052
2007,2011,GHA,3.9103906,8.0576229
2008,2012,GHA,3.317662,9.0467625
2009,2013,GHA,3.4040186,8.679307
2010,2014,GHA,3.6583388,8.507329
2011,2015,GHA,4.2060399,8.6592264
1997,2001,GIN,.95227605,3.7598271
1998,2002,GIN,.94594216,3.7564282
1999,2003,GIN,1.4754751,3.2773244
2000,2004,GIN,1.4888998,2.9829469
2001,2005,GIN,1.465295,3.0817895
2002,2006,GIN,1.4429452,2.8494658
2003,2007,GIN,.67805499,2.1680803
2004,2008,GIN,1.2185419,2.9057467
2005,2009,GIN,1.8971323,2.3816848
2006,2010,GIN,1.8702118,2.1694736
2007,2011,GIN,2.0316267,2.4518802
2008,2012,GIN,2.0795898,2.8891664
2009,2013,GIN,1.7365098,2.3617797
2010,2014,GIN,1.4864304,2.4978178
2011,2015,GIN,1.6776628,2.6382179
1997,2001,GMB,1.1031777,5.2199993
1998,2002,GMB,3.9756131,3.5899994
1999,2003,GMB,4.23382,4.2639999
2000,2004,GMB,4.3248043,4.3940001
2001,2005,GMB,4.8415618,3.1056647
2002,2006,GMB,4.6383519,2.1704845
2003,2007,GMB,3.5120881,3.5466897
2004,2008,GMB,3.272002,3.3196182
2005,2009,GMB,3.107795,3.1995575
2006,2010,GMB,2.3125048,4.6928191
2007,2011,GMB,4.5851846,3.6022654
2008,2012,GMB,4.695919,4.0485063
2009,2013,GMB,4.6292024,3.8577595
2010,2014,GMB,4.5186324,2.7433124
2011,2015,GMB,4.6115499,1.7979825
1997,2001,GNB,14.4358,-2.5917096
1998,2002,GNB,13.622458,-4.0887451
1999,2003,GNB,2.4010236,1.6449528
2000,2004,GNB,2.4145288,1.9921257
2001,2005,GNB,2.0260534,1.7598133
2002,2006,GNB,2.03316,1.7839819
2003,2007,GNB,1.357765,2.6219511
2004,2008,GNB,.72581035,3.1492312
2005,2009,GNB,.69334537,3.2598324
2006,2010,GNB,.75501174,3.2931516
2007,2011,GNB,2.509002,4.6369328
2008,2012,GNB,4.0129471,3.5493357
2009,2013,GNB,4.2724228,2.9740915
2010,2014,GNB,4.2710333,2.8192673
2011,2015,GNB,4.8206391,2.4160788
1997,2001,GNQ,55.388927,56.201023
1998,2002,GNQ,18.852531,30.098997
1999,2003,GNQ,20.143295,28.135151
2000,2004,GNQ,20.516846,30.602093
2001,2005,GNQ,20.747173,30.309078
2002,2006,GNQ,11.392004,19.174086
2003,2007,GNQ,11.795569,17.731953
2004,2008,GNQ,12.249604,16.922579
2005,2009,GNQ,7.9781585,8.4158888
2006,2010,GNQ,7.9112673,4.3011446
2007,2011,GNQ,7.7087173,3.1479778
2008,2012,GNQ,6.188858,1.8496435
2009,2013,GNQ,5.1055217,-1.4346163
2010,2014,GNQ,4.8050289,-.58849144
2011,2015,GNQ,5.1400161,.2206412
1997,2001,GRC,.5296796,3.9000378
1998,2002,GRC,.42382225,3.7877724
1999,2003,GRC,1.0015475,4.1676974
2000,2004,GRC,.83969867,4.5653768
2001,2005,GRC,1.9887791,3.8441741
2002,2006,GRC,2.1468699,4.2059946
2003,2007,GRC,2.1875131,4.0761695
2004,2008,GRC,2.652045,2.8502285
2005,2009,GRC,3.770072,.97788334
2006,2010,GRC,4.7700443,-.23775251
2007,2011,GRC,4.7884393,-3.1947381
2008,2012,GRC,3.3305264,-5.309586
2009,2013,GRC,2.3687122,-5.8821998
2010,2014,GRC,3.7998023,-4.8912563
2011,2015,GRC,4.3711987,-4.7443113
1997,2001,GRD,4.5904574,4.2144508
1998,2002,GRD,4.5951896,3.9801459
1999,2003,GRD,5.1542487,4.5645595
2000,2004,GRD,4.4751906,2.4205694
2001,2005,GRD,6.5496807,4.7006021
2002,2006,GRD,7.0990887,4.3018403
2003,2007,GRD,7.1201534,4.844492
2004,2008,GRD,6.7475996,3.1415079
2005,2009,GRD,7.9970722,1.9482158
2006,2010,GRD,4.8889666,-.80865026
2007,2011,GRD,4.5610089,.14785643
2008,2012,GRD,3.090369,-1.3133193
2009,2013,GRD,3.395812,-1.0326691
2010,2014,GRD,2.731704,1.4270771
2011,2015,GRD,2.8955343,1.9116631
1997,2001,GRL,3.3268738,3.795085
1998,2002,GRL,3.885479,3.3070641
1999,2003,GRL,3.1986201,1.6795425
2000,2004,GRL,3.2201376,1.9374683
2001,2005,GRL,1.5462612,.91306603
2002,2006,GRL,2.2379444,1.553055
2003,2007,GRL,2.2877061,2.8499026
2004,2008,GRL,2.041399,2.9950097
2005,2009,GRL,4.3065038,1.3791097
2006,2010,GRL,4.9575934,1.2289908
2007,2011,GRL,5.4651842,.14899412
2008,2012,GRL,4.0714469,-2.5330386
1997,2001,GTM,.9912762,3.8292251
1998,2002,GTM,.94820064,3.7297318
1999,2003,GTM,.74558753,3.2371843
2000,2004,GTM,.66375726,3.0981884
2001,2005,GTM,.61306459,3.0284367
2002,2006,GTM,1.0829227,3.6378767
2003,2007,GTM,1.62472,4.1253633
2004,2008,GTM,1.4676874,4.2754211
2005,2009,GTM,2.2379205,3.7502134
2006,2010,GTM,2.2659497,3.6720889
2007,2011,GTM,2.0955551,3.4285433
2008,2012,GTM,1.3494298,2.7617035
2009,2013,GTM,1.4013629,2.8450046
2010,2014,GTM,.64765561,3.5897505
2011,2015,GTM,.58576375,3.7698164
1997,2001,GUY,3.2973135,1.6723068
1998,2002,GUY,2.1078591,.63711727
1999,2003,GUY,1.927985,.7777797
2000,2004,GUY,2.0231893,.84258842
2001,2005,GUY,2.1918995,.72655165
2002,2006,GUY,2.9421628,1.3024738
2003,2007,GUY,3.877151,2.4963362
2004,2008,GUY,3.4044011,3.0927167
2005,2009,GUY,3.404784,3.0976565
2006,2010,GUY,1.8996359,4.3632126
2007,2011,GUY,1.9352958,4.424716
2008,2012,GUY,1.3625731,3.9839451
2009,2013,GUY,.84009707,4.6329408
2010,2014,GUY,.47037816,4.9615202
2011,2015,GUY,.31512666,5.1584034
1997,2001,HKG,5.1513691,1.9895929
1998,2002,HKG,4.8531942,1.3009944
1999,2003,HKG,2.7253206,3.0887887
2000,2004,HKG,3.646426,4.3274736
2001,2005,HKG,3.585012,4.2724047
2002,2006,HKG,3.0362415,5.566761
2003,2007,HKG,2.1076617,6.5283799
2004,2008,HKG,2.4952924,6.3426867
2005,2009,HKG,4.2401261,4.1108451
2006,2010,HKG,4.1278138,3.9867387
2007,2011,HKG,3.8268743,3.5431571
2008,2012,HKG,3.4964373,2.5902679
2009,2013,HKG,3.490715,2.77913
2010,2014,HKG,2.0283842,3.7712004
2011,2015,HKG,1.3208936,3.0220978
1997,2001,HND,2.977684,2.895422
1998,2002,HND,2.8059795,2.6475458
1999,2003,HND,2.9366696,2.9766364
2000,2004,HND,1.4337891,4.6010041
2001,2005,HND,1.4991745,4.6614943
2002,2006,HND,1.2154857,5.4303045
2003,2007,HND,.78906518,5.9171023
2004,2008,HND,.9266116,5.8540149
2005,2009,HND,3.772614,4.1212282
2006,2010,HND,3.6153903,3.6573367
2007,2011,HND,3.2540808,3.111026
2008,2012,HND,2.8754823,2.6990983
2009,2013,HND,2.7531271,2.4110901
2010,2014,HND,.55548441,3.5144587
2011,2015,HND,.6259827,3.4602883
1997,2001,HRV,2.77671,2.954751
1998,2002,HRV,2.3494465,2.6749513
1999,2003,HRV,2.5979717,3.4141564
2000,2004,HRV,.93390656,4.4178185
2001,2005,HRV,.8801837,4.4970875
2002,2006,HRV,.64955252,4.767231
2003,2007,HRV,.63297987,4.7479367
2004,2008,HRV,1.1990575,4.0470285
2005,2009,HRV,5.2468224,1.7537098
2006,2010,HRV,5.2288795,.58069175
2007,2011,HRV,4.6716385,-.43258497
2008,2012,HRV,3.4800646,-1.9000717
2009,2013,HRV,2.8093321,-2.5235291
2010,2014,HRV,.83078504,-1.1188594
2011,2015,HRV,.88257992,-.97326183
1997,2001,HTI,1.8698183,.84302187
1998,2002,HTI,1.6235162,.56689185
1999,2003,HTI,1.4089764,.52599961
2000,2004,HTI,1.7191746,-.71557158
2001,2005,HTI,1.9627744,-.53228229
2002,2006,HTI,2.2767768,.12685561
2003,2007,HTI,2.6613214,.8478111
2004,2008,HTI,2.6480453,.94411385
2005,2009,HTI,1.0094261,2.2630301
2006,2010,HTI,3.6557031,.80513418
2007,2011,HTI,4.2274709,1.4592834
2008,2012,HTI,4.1811347,1.3676467
2009,2013,HTI,4.3483305,2.0484447
2010,2014,HTI,4.331017,1.9817654
2011,2015,HTI,1.3039823,3.8516548
1997,2001,HUN,.44783512,3.7911098
1998,2002,HUN,.47983569,4.0022755
1999,2003,HUN,.46802658,3.9290915
2000,2004,HUN,.46118474,4.2678018
2001,2005,HUN,.46190783,4.2932444
2002,2006,HUN,.47246653,4.284688
2003,2007,HUN,1.7646991,3.4736843
2004,2008,HUN,2.0888906,2.8727729
2005,2009,HUN,4.3507023,.57341427
2006,2010,HUN,3.8352718,-.1488709
2007,2011,HUN,3.3907256,-.55864257
2008,2012,HUN,3.3690495,-.98158556
2009,2013,HUN,3.5394273,-.77150112
2010,2014,HUN,1.9637272,1.2747585
2011,2015,HUN,2.241406,1.4076487
1997,2001,IDN,7.6212745,.18556181
1998,2002,IDN,7.5920701,.14548239
1999,2003,IDN,1.7143526,3.7269011
2000,2004,IDN,.55734313,4.5748501
2001,2005,IDN,.75054979,4.729351
2002,2006,IDN,.49484119,5.1008482
2003,2007,IDN,.60921717,5.4699578
2004,2008,IDN,.50012177,5.7166247
2005,2009,IDN,.64828998,5.6362238
2006,2010,IDN,.70121348,5.7424808
2007,2011,IDN,.70738715,5.8762469
2008,2012,IDN,.66814113,5.8132529
2009,2013,IDN,.66379368,5.7263541
2010,2014,IDN,.50474155,5.8055129
2011,2015,IDN,.51649284,5.7009277
1997,2001,IMN,4.1420236,9.2997065
1998,2002,IMN,4.4274144,8.7571964
1999,2003,IMN,3.585151,7.3209
2000,2004,IMN,.46853164,5.6222568
2001,2005,IMN,.4504295,5.7345839
2002,2006,IMN,.93084675,6.1993508
2003,2007,IMN,1.0625905,6.5255556
2004,2008,IMN,1.2203141,6.5749998
2005,2009,IMN,.98657644,7.0333333
2006,2010,IMN,.14142123,7.5999999
1997,2001,IND,2.0592995,5.5489898
1998,2002,IND,2.1064386,5.4998207
1999,2003,IND,2.3606219,5.8350139
