start,end,iso3,FiveYrSD,FiveYrAverageGDPgrowth
2006,2010,ATG,10.749562,.75348967
2007,2011,ATG,8.1138229,-2.2804775
2008,2012,ATG,6.290215,-3.376358
2009,2013,ATG,6.2355599,-3.4598324
2010,2014,ATG,4.8406596,-.088232704
2011,2015,ATG,3.241189,1.675457
1997,2001,AUS,1.1600407,3.8381453
1998,2002,AUS,1.1586149,3.8200142
1999,2003,AUS,1.1373972,3.5465252
2000,2004,AUS,.90245658,3.3749809
2001,2005,AUS,.85945916,3.2425778
2002,2006,AUS,.51857787,3.4532745
2003,2007,AUS,.50090873,3.4334688
2004,2008,AUS,.46526599,3.5606489
2005,2009,AUS,.78497988,3.0947096
2006,2010,AUS,.91223204,2.8570175
2007,2011,AUS,.93112808,2.7363558
2008,2012,AUS,.89795434,2.7113683
2009,2013,AUS,.70486468,2.4580383
2010,2014,AUS,.61013418,2.5940728
2011,2015,AUS,.59846807,2.7380455
1997,2001,AUT,.99732524,2.8147795
1998,2002,AUT,1.1056235,2.7049468
1999,2003,AUT,1.2633355,2.1441846
2000,2004,AUT,1.0550699,1.9673357
2001,2005,AUT,.74469364,1.7217907
2002,2006,AUT,.99170947,2.1218538
2003,2007,AUT,1.1394083,2.5149848
2004,2008,AUT,.85305965,2.6732063
2005,2009,AUT,3.0140371,1.3722427
2006,2010,AUT,3.0019913,1.3298407
2007,2011,AUT,2.9193075,1.2212744
2008,2012,AUT,2.5933967,.64843518
2009,2013,AUT,2.5446689,.40323257
2010,2014,AUT,1.0949563,1.2337418
2011,2015,AUT,1.1820964,1.060009
1997,2001,AZE,2.1732459,8.8400002
1998,2002,AZE,1.4265338,9.8000002
1999,2003,AZE,1.5630095,10.04
2000,2004,AZE,.56124842,10.599999
2001,2005,AZE,7.1384878,13.66
2002,2006,AZE,11.213474,18.58
2003,2007,AZE,10.480706,21.469801
2004,2008,AZE,10.586659,21.384285
2005,2009,AZE,10.798894,21.226416
2006,2010,AZE,12.39859,16.917282
2007,2011,AZE,9.3884964,10.030467
2008,2012,AZE,4.5803924,5.4606676
2009,2013,AZE,3.5660396,4.465519
2010,2014,AZE,2.3188043,2.9833882
2011,2015,AZE,2.389689,2.5156505
1997,2001,BDI,2.6845937,.6697886
1998,2002,BDI,2.7702577,1.8770925
1999,2003,BDI,2.4960828,.68234688
2000,2004,BDI,2.8487451,1.8510785
2001,2005,BDI,2.5206981,2.2024512
2002,2006,BDI,2.8854964,2.8682213
2003,2007,BDI,2.9354532,2.9360838
2004,2008,BDI,1.8545204,4.1904531
2005,2009,BDI,1.8365608,3.9174066
2006,2010,BDI,.82744896,4.4945869
2007,2011,BDI,.66211462,4.255981
2008,2012,BDI,.59399778,4.1026874
2009,2013,BDI,.42358586,4.0118747
2010,2014,BDI,.37390268,4.2503734
2011,2015,BDI,.31066948,4.3664908
1997,2001,BEL,1.2963462,2.7388639
1998,2002,BEL,1.2197725,2.3528445
1999,2003,BEL,1.4152359,2.1126618
2000,2004,BEL,1.4338628,2.1270142
2001,2005,BEL,1.1705127,1.8190949
2002,2006,BEL,1.0438046,2.1566951
2003,2007,BEL,1.1438018,2.480099
2004,2008,BEL,1.1540483,2.4746125
2005,2009,BEL,2.2150342,1.2906765
2006,2010,BEL,2.2846944,1.4107972
2007,2011,BEL,2.221734,1.2702719
