county_name,votes_cruz,votes_orourke,votes_total,registered_voters,turnout_rate,vote_share_cruz,vote_share_orourke,win_cruz,win_orourke
MEDINA,11434,4613,16161,31354,51.54,70.750572,28.544027,1,0
MENARD,629,144,779,1443,53.98,80.744545,18.485237,1,0
MIDLAND,31167,9085,40601,84393,48.1,76.764122,22.376295,1,0
MILAM,5905,1981,7954,15038,52.89,74.23938,24.905708,1,0
MILLS,1763,229,2003,3426,58.46,88.017967,11.43285,1,0
MITCHELL,1584,323,1912,4562,41.91,82.845184,16.893305,1,0
MONTAGUE,6422,940,7418,13588,54.59,86.573204,12.671879,1,0
MONTGOMERY,137231,51124,189786,333488,56.9,72.308281,26.937708,1,0
MOORE,3244,786,4055,9764,41.53,80,19.383476,1,0
MORRIS,3063,1320,4401,8302,53.01,69.597816,29.993183,1,0
MOTLEY,483,41,528,847,62.33,91.477272,7.7651515,1,0
NACOGDOCHES,13766,7721,21613,36993,58.42,63.69315,35.723869,1,0
NAVARRO,10383,3913,14403,28641,50.28,72.089149,27.167952,1,0
NEWTON,3660,993,4676,9293,50.31,78.272026,21.236099,1,0
NOLAN,3116,927,4069,8778,46.35,76.57901,22.782009,1,0
NUECES,45875,47265,93858,205176,45.74,48.877029,50.357986,0,1
OCHILTREE,2158,229,2412,5216,46.24,89.469322,9.4941959,1,0
OLDHAM,732,82,816,1417,57.58,89.705887,10.04902,1,0
ORANGE,21156,5045,26318,53392,49.29,80.386047,19.16939,1,0
PALO PINTO,7490,1817,9353,17984,52,80.081261,19.426922,1,0
PANOLA,7120,1598,8749,16392,53.37,81.38073,18.264944,1,0
PARKER,43994,9926,54388,91858,59.2,80.889168,18.250349,1,0
PARMER,1674,372,2056,4428,46.43,81.420227,18.093386,1,0
PECOS,2157,1336,3513,8223,42.72,61.400517,38.030174,1,0
POLK,12735,3827,16668,38018,43.84,76.403885,22.960163,1,0
POTTER,16630,7494,24335,55580,43.78,68.337784,30.795151,1,0
PRESIDIO,406,1172,1588,4884,32.51,25.566751,73.803528,0,1
RAINS,3424,587,4032,7668,52.58,84.920631,14.558532,1,0
RANDALL,37767,9324,47446,87827,54.02,79.599968,19.651815,1,0
REAGAN,692,136,834,1845,45.2,82.973625,16.306955,1,0
REAL,1311,245,1564,2590,60.38,83.823532,15.664962,1,0
RED RIVER,3421,973,4412,8268,53.36,77.538528,22.05349,1,0
REEVES,1125,1252,2392,7089,33.74,47.031773,52.341141,0,1
REFUGIO,1636,846,2491,4949,50.33,65.67643,33.962265,1,0
ROBERTS,441,19,460,707,65.06,95.869568,4.1304345,1,0
ROBERTSON,4292,1942,6265,11654,53.75,68.507584,30.997606,1,0
ROCKWALL,26590,11713,38632,62933,61.38,68.828949,30.319426,1,0
RUNNELS,2842,385,3249,6692,48.55,87.473068,11.8498,1,0
RUSK,12595,3609,16280,31242,52.1,77.364861,22.168304,1,0
SABINE,3442,495,3952,7802,50.65,87.095139,12.525304,1,0
SAN AUGUSTINE,2260,734,3010,5989,50.25,75.083061,24.385382,1,0
SAN JACINTO,7487,1781,9323,17976,51.86,80.30677,19.103292,1,0
SAN PATRICIO,11322,6755,18183,41762,43.53,62.266953,37.150085,1,0
SAN SABA,1811,247,2069,3737,55.36,87.530205,11.938134,1,0
SCHLEICHER,735,209,952,1789,53.21,77.205887,21.953781,1,0
SCURRY,3702,641,4359,9393,46.4,84.927734,14.705208,1,0
SHACKELFORD,1174,103,1281,2320,55.21,91.647148,8.0405931,1,0
SHELBY,6005,1521,7558,15294,49.41,79.452232,20.124371,1,0
SHERMAN,691,86,820,1535,53.42,84.268288,10.487804,1,0
SMITH,53542,23036,77031,134712,57.18,69.50708,29.904842,1,0
SOMERVELL,3032,633,3690,6287,58.69,82.168022,17.154472,1,0
STARR,2436,8246,10750,33110,32.46,22.660465,76.706978,0,1
STEPHENS,2627,324,2964,5573,53.18,88.630226,10.931174,1,0
STERLING,442,44,486,880,55.22,90.946503,9.0534973,1,0
STONEWALL,497,112,614,957,64.15000000000001,80.944626,18.241041,1,0
SUTTON,933,265,1205,2478,48.62,77.427383,21.991701,1,0
SWISHER,1459,420,1893,3968,47.7,77.073433,22.187004,1,0
TARRANT,308608,312477,626280,1122597,55.78,49.27636,49.894135,0,1
TAYLOR,29751,10445,40552,80168,50.58,73.365059,25.757053,1,0
TERRELL,323,138,466,694,67.14,69.313309,29.613733,1,0
TERRY,2169,627,2811,6633,42.37,77.161148,22.305229,1,0
THROCKMORTON,617,77,703,1219,57.67,87.766716,10.953058,1,0
TITUS,5654,2258,7964,17020,46.79,70.994476,28.352585,1,0
TOM GREEN,24568,9624,34483,66826,51.6,71.246704,27.909405,1,0
TRAVIS,118603,356971,480705,775950,61.95,24.67272,74.259888,0,1
TRINITY,4146,998,5175,11455,45.17,80.115944,19.285025,1,0
TYLER,5874,1176,7085,13725,51.62,82.907555,16.598448,1,0
UPSHUR,11517,2361,13968,27708,50.41,82.452751,16.90292,1,0
UPTON,854,168,1030,2116,48.67,82.912621,16.31068,1,0
UVALDE,4343,3510,7911,17118,46.21,54.898243,44.368599,1,0
VAL VERDE,5290,5909,11300,27972,40.39,46.814159,52.292038,0,1
VAN ZANDT,15181,2631,17928,36982,48.47,84.677597,14.675368,1,0
VICTORIA,18994,8039,27190,55473,49.01,69.856567,29.566017,1,0
WALKER,11517,6163,17812,33422,53.29,64.658661,34.600269,1,0
WALLER,10145,6317,16561,32584,50.82,61.258377,38.143833,1,0
WARD,2092,799,2915,6522,44.69,71.766724,27.40995,1,0
WASHINGTON,10130,3254,13479,23253,57.96,75.153938,24.141256,1,0
WEBB,13813,35142,49363,130784,37.74,27.982498,71.190971,0,1
WHARTON,9092,3788,12935,25132,51.46,70.289909,29.284885,1,0
WHEELER,1679,125,1810,3415,53,92.762428,6.9060774,1,0
WICHITA,23617,9948,33863,81419,41.59,69.74279,29.377195,1,0
WILBARGER,2638,776,3438,8134,42.26,76.730659,22.571262,1,0
WILLACY,1527,2773,4325,12405,34.86,35.306358,64.115608,0,1
WILLIAMSON,98658,104262,205412,331985,61.87,48.029327,50.757504,0,1
WILSON,13021,4563,17711,32537,54.43,73.519287,25.763649,1,0
WINKLER,1123,321,1455,3870,37.59,77.182129,22.061855,1,0
WISE,19010,3913,23102,41749,55.33,82.287247,16.937927,1,0
WOOD,13944,2620,16682,30065,55.48,83.587097,15.705551,1,0
YOAKUM,1558,335,1903,4264,44.62,81.870728,17.603783,1,0
YOUNG,5531,818,6390,11854,53.9,86.557121,12.801252,1,0
ZAPATA,820,1389,2219,7587,29.24,36.953583,62.595768,0,1
ZAVALA,589,2310,2914,8157,35.72,20.212767,79.272476,0,1
