"","country","year","iso3","eb_econgood","gdpgrowth","unemployment","inflation","lfp","lfp_men","manufacturing","trade","gini","wage_growth"
"102","Estonia",2014,"EST",50.8982048034668,2.82290697097778,7.35200023651123,1.72409021854401,61.8129997253418,69.3479995727539,16.1522655487061,162.594192504883,0.361000001430511,6.28505420684814
"103","Estonia",2013,"EST",43.7686920166016,1.41521430015564,8.63099956512451,3.85632610321045,61.9080009460449,68.9039993286133,15.5351028442383,167.001770019531,NA,1.83956325054169
"104","Estonia",2012,"EST",37.0887336730957,4.30725908279419,10.0209999084473,3.15975213050842,61.7060012817383,68.697998046875,15.9127731323242,170.428329467773,0.337999999523163,2.74445509910583
"105","Estonia",2011,"EST",33.698902130127,7.59730005264282,12.3280000686646,5.2608962059021,62.2229995727539,68.5029983520508,16.5727081298828,167.349945068359,NA,-4.48437881469727
"106","Estonia",2010,"EST",32.2999992370605,2.25907588005066,16.7070007324219,1.73588407039642,61.3520011901855,67.6869964599609,15.6885042190552,143.800155639648,NA,-0.139940723776817
"107","Estonia",2009,"EST",19.284294128418,-14.724404335022,13.5480003356934,0.430687755346298,61.556999206543,68.8410034179688,14.1266193389893,116.649642944336,NA,-4.0593900680542
"108","Estonia",2008,"EST",28,-5.41945600509644,5.45499992370605,7.49280738830566,61.7589988708496,69.6729965209961,15.4785957336426,137.52294921875,NA,0.747931241989136
"109","Estonia",2007,"EST",66.3043441772461,7.74819231033325,4.59200000762939,11.510458946228,61.0530014038086,69.0749969482422,15.9275121688843,135.265670776367,0.316000014543533,15.63161277771
"110","Estonia",2006,"EST",80.9809799194336,10.2718839645386,5.91499996185303,8.87790489196777,60.9080009460449,67.9029998779297,16.4716339111328,137.12141418457,NA,7.2845721244812
"111","Estonia",2005,"EST",58.582836151123,9.37371158599854,8.03299999237061,6.07170486450195,58.9879989624023,65.6320037841797,16.6416969299316,136.916595458984,NA,6.45161294937134
"112","Finland",2016,"FIN",39.4762382507324,1.38729989528656,8.99699974060059,0.774161100387573,58.242000579834,61.8769989013672,16.5668621063232,71.9132766723633,NA,NA
"113","Finland",2015,"FIN",23.1536922454834,0.268556386232376,9.37600040435791,1.69162607192993,58.4990005493164,62.1360015869141,16.9616069793701,73.9798889160156,NA,1.18272924423218
"114","Finland",2014,"FIN",21.0578842163086,-0.631728112697601,8.66300010681152,1.69289028644562,58.8160018920898,62.4269981384277,16.898416519165,75.3744964599609,0.256999999284744,0.151162207126617
"115","Finland",2013,"FIN",46.8063888549805,-0.758036315441132,8.19299983978271,2.5517156124115,59.1920013427734,63.0460014343262,16.937520980835,78.5136108398438,NA,-1.07374000549316
"116","Finland",2012,"FIN",54.61767578125,-1.42618930339813,7.68900012969971,2.95356440544128,60.0789985656738,64.286003112793,16.8585472106934,80.4057235717773,0.261999994516373,0.0686880573630333
"117","Finland",2011,"FIN",65.2043838500977,2.57081770896912,7.7810001373291,2.58402371406555,60.2589988708496,64.8089981079102,18.869607925415,79.1699066162109,NA,0.344623863697052
"118","Finland",2010,"FIN",60.7569732666016,2.99233746528625,8.39400005340576,0.350772529840469,60.2560005187988,64.5820007324219,19.5257301330566,76.0897903442383,NA,1.57015705108643
"119","Finland",2009,"FIN",46.4955558776855,-8.26903629302979,8.25,1.87741446495056,60.8720016479492,64.8030014038086,19.1300182342529,70.5312423706055,NA,0.806532919406891
"120","Finland",2008,"FIN",78,0.720668494701385,6.36899995803833,3.07688474655151,61.9160003662109,66.5339965820312,23.7014770507812,86.5118637084961,NA,0.969588994979858
"121","Finland",2007,"FIN",90.6189575195312,5.18480062484741,6.85400009155273,2.76503968238831,61.6910018920898,66.0189971923828,25.2960510253906,83.1759414672852,0.268999993801117,1.52435088157654
"122","Finland",2006,"FIN",90.1999969482422,4.05519723892212,7.7189998626709,0.91245436668396,61.5050010681152,65.9960021972656,25.0606422424316,82.1827926635742,NA,2.32650375366211
"123","Finland",2005,"FIN",81.73828125,2.7799551486969,8.38399982452393,0.923616647720337,60.9589996337891,65.3830032348633,24.3272228240967,76.6277160644531,NA,2.30161738395691
"124","France",2016,"FRA",14.7852144241333,1.18765032291412,9.96500015258789,0.385265648365021,54.9070014953613,59.6710014343262,11.1035652160645,60.5815010070801,NA,NA
"125","France",2015,"FRA",14.1325540542603,1.06746160984039,10.3590002059937,1.09231638908386,55.1580009460449,59.992000579834,11.2311162948608,61.0635185241699,NA,1.38641917705536
