metaweight,country,EXP1,EXP2,EXP3,EXP4,AP1,AP2,AP3,AP4,EL1,EL2,POP1,POP2,POP3,POP4,POP5,POP6,expertise,antipolitics,elitism,popscale
.63237625,1,4,6,6,5,3,2,5,7,5,4,5,3,3,3,3,3,5.25,4.25,4.5,3.4000001
.75560331,1,6,7,7,6,6,2,5,5,2,1,5,5,2,6,5,1,6.5,4.5,1.5,4.5999999
.62223971,1,5,5,5,5,4,1,1,2,2,3,6,4,2,7,5,4,5,2,2.5,4.8000002
1.276033,1,3,6,5,5,5,3,5,3,3,5,6,3,3,7,5,2,4.75,4,4,4.8000002
1.4910983,1,5,4,5,6,5,3,7,6,6,3,5,3,4,6,6,4,5,5.25,4.5,4.8000002
.62223971,1,7,6,4,7,4,2,4,2,7,1,7,3,2,4,4,2,6,3,4,4
1.2835567,1,5,5,7,3,5,3,2,3,5,3,6,3,4,5,3,5,5,3.25,4,4.1999998
.71966678,1,7,3,3,1,1,4,3,3,4,1,7,6,3,3,3,1,3.5,2.75,2.5,4.4000001
1.6141486,1,2,6,6,6,6,2,6,6,3,6,5,6,6,5,6,3,5,5,4.5,5.5999999
1.2835567,1,3,3,5,3,6,5,3,5,3,3,5,3,3,5,5,5,3.5,4.75,3,4.1999998
1.7567606,1,6,7,4,7,6,3,5,7,6,3,5,3,4,7,7,5,6,5.25,4.5,5.1999998
.75560331,1,5,3,4,5,5,3,3,5,5,2,5,5,5,4,5,4,4.25,4,3.5,4.8000002
.76103604,1,6,7,5,4,5,3,7,5,7,2,4,4,5,2,5,5,5.5,5,4.5,4
.35031807,1,3,3,5,5,5,3,6,7,1,1,7,5,6,7,6,4,4,5.25,1,6.1999998
1.3509064,1,2,3,4,3,2,2,6,7,5,2,7,7,6,5,7,3,3,4.25,3.5,6.4000001
1.4910983,1,6,6,6,6,5,7,7,7,1,1,7,7,7,7,7,1,6,6.5,1,7
1.3292522,1,6,4,6,2,3,7,7,6,6,2,7,6,6,7,5,5,4.5,5.75,4,6.1999998
1.2835567,1,7,7,6,7,2,3,6,5,3,6,7,5,7,7,7,6,6.75,4,4.5,6.5999999
.34515893,1,5,3,5,5,5,3,3,6,2,2,6,6,5,6,5,4,4.5,4.25,2,5.5999999
